Plateau,avg_voltage,G_avg,n_candidate,interesting,R_unknown
173,0.581255674797977,5.2862860657019024e-05,1,False,9297.94504361012
174,0.9792961906796942,1.0874903544064101e-06,1,False,272.86098360511636
175,0.6011690573585988,5.096793450373398e-05,1,False,8562.438639514385
176,0.9776258790405211,1.1856861841941624e-06,1,False,295.3782672800326
177,0.9759243483064123,1.3359636988421115e-06,1,False,318.3956639171472
178,0.9794797794129753,1.1662810025015552e-06,1,False,270.39072891978276
179,0.9767690467609403,1.3348798502503405e-06,1,False,306.9590119816291
180,0.9777909206537757,1.2514263633735466e-06,1,False,293.1499346655815
181,0.5997530924630123,5.116059719198055e-05,1,False,8613.124709374864
182,0.9760590872093058,1.2817905907368584e-06,1,False,316.57006238889215
183,0.9791168920374467,1.1386509612397075e-06,1,False,275.2744076693156
184,0.9790508295991458,1.1173081671790367e-06,1,False,276.163854644204
185,0.9781371109585193,1.2318241066022184e-06,1,False,288.47824042728195
186,0.977850722426654,1.2318353423088133e-06,1,False,292.34269825185675
187,0.9769657237523887,1.2306693416633058e-06,1,False,304.2989755363821
188,0.6033165619423192,5.07349150462703e-05,1,False,8486.02032066942
189,0.9760822882830247,1.2912061489033976e-06,1,False,316.2557577514511
190,0.6078658598900892,5.008456704012905e-05,1,False,8325.918368492748
191,0.9749671334404604,1.3622068430808017e-06,1,False,331.37966526915693
192,0.9791124314291915,1.1563364852504225e-06,1,False,275.33446032560886
193,0.9756114746510692,1.3092070442389264e-06,1,False,322.6367900569614
194,0.6250519949081057,4.745431260933107e-05,1,False,7742.1244484711315
195,0.6214173366498359,4.8002740414042786e-05,1,False,7862.897299560773
196,0.5982838436933307,5.140427746161223e-05,1,False,8665.97176686515
197,0.9775947694130358,1.2465732118914907e-06,1,False,295.79838258027434
198,0.9772969693876803,1.2730226626982653e-06,1,False,299.82133184434144
199,0.9766239628809902,1.2593772488343865e-06,1,False,308.9219434748222
200,0.977051492489518,1.2354063532085727e-06,1,False,303.1392973655537
201,0.9766207374091092,1.2606158799869653e-06,1,False,308.9655895492144
202,0.9761775090746645,1.288621638329937e-06,1,False,314.96595943887843
203,0.9721230383729562,1.5388097330319965e-06,1,False,370.1088311998398
204,0.9771807511989027,1.216445979437016e-06,1,False,301.3919763288463
205,0.97747103454361,1.1915051692094939e-06,1,False,297.4696062756704
206,0.6066498238144759,5.000937865532213e-05,1,False,8368.478785766161
207,0.9784997453227905,1.1728750264048117e-06,1,False,283.5881853631648
208,0.9781110445579154,1.1617568012168505e-06,1,False,288.8298805414275
209,0.9773454482733979,1.2106188805452887e-06,1,False,299.16626860477993
210,0.6243062842004157,4.765225414092524e-05,1,False,7766.788349748668
211,0.9799679021517796,1.1182020072009542e-06,1,False,263.82735782807873
212,0.9759486679637979,1.336864900225241e-06,1,False,318.0661152423003
213,0.976993038841029,1.2176051262741009e-06,1,False,303.9296264202194
214,0.9783475173353509,1.1826439213169444e-06,1,False,285.64050919287916
215,0.6224309413628362,4.7836105127649e-05,1,False,7829.075296170586
216,0.9778319532898734,1.1586166450177497e-06,1,False,292.5960434981494
217,0.6027925154859776,5.037823031102208e-05,1,False,8504.618136216433
218,0.974815293540728,1.3744866566250792e-06,1,False,333.4416186634891
219,0.9766237978474237,1.3341631233953738e-06,1,False,308.92417665031047
220,0.9736002951720019,1.5032981573344968e-06,1,False,349.9642004459341
221,0.9782898859795224,1.1772091887602631e-06,1,False,286.41765654616404
222,0.9761671633106224,1.3562218420962544e-06,1,False,315.1060841800705
223,0.9763727810578781,1.297559816373733e-06,1,False,312.3217203428339
224,0.9762790363058074,1.2713586920891562e-06,1,False,313.59101538443315
225,0.9804535196332677,1.0442986118094838e-06,1,False,257.30415777499667
226,0.9778204802109882,1.1925230295686975e-06,1,False,292.75091156306104
227,0.9781308212275693,1.229529642966151e-06,1,False,288.56308823670435
228,0.9787319680254375,1.2255087230238066e-06,1,False,280.45860988135615
229,0.9755009051880006,1.3186261927564886e-06,1,False,324.1362534602208
230,0.9792601417059139,1.1187580314265676e-06,1,False,273.34614474652915
231,0.9777532789485122,1.1992444201232878e-06,1,False,293.65809323619266
232,0.9808216411892015,1.0530425233560593e-06,1,False,252.36356060026307
233,0.9777593141650234,1.1983703068225705e-06,1,False,293.5766158931415
234,0.9775341481068303,1.2038551587731916e-06,1,False,296.61711074274626
235,0.97768057966372,1.1993719306699539e-06,1,False,294.6396357498706
236,0.9767137768149436,1.2256959504288482e-06,1,False,307.7067252447161
237,0.9730076399326736,1.4908208183227065e-06,1,False,358.03860355008516
238,0.9792794709443567,1.1042323952406211e-06,1,False,273.0859998793094
239,0.9741031476769866,1.4054380472097173e-06,1,False,343.12098488242
240,0.9772531135274747,1.2022870868532907e-06,1,False,300.4139831770657
241,0.9757208982436825,1.317254675376645e-06,1,False,321.1532006994929
242,0.9790601823850148,1.0923131805068955e-06,1,False,276.03792394654414
243,0.9776052080998644,1.2109802710850197e-06,1,False,295.6574119183405
244,0.6085084773225625,4.9710182057083205e-05,1,False,8303.495903037228
245,0.9782297797679703,1.1719384491674688e-06,1,False,287.2282743883187
246,0.9770451193012247,1.2232105776425464e-06,1,False,303.2254621734175
247,0.9786432563439955,1.1219527316427957e-06,1,False,281.6539675599575
248,0.9763973171272956,1.3367679231393876e-06,1,False,311.98954453738554
249,0.9779648563544504,1.157778154268687e-06,1,False,290.80233127239245
250,0.9746599063470517,1.3958728273157595e-06,1,False,335.5524086939267
251,0.9752711765673077,1.3210922730837063e-06,1,False,327.2527545671655
252,0.9759822775940394,1.2689691765926449e-06,1,False,317.6107078524006
253,0.9759961161452435,1.2985357243572498e-06,1,False,317.42320587581565
254,0.6183560555852485,4.860815727723119e-05,1,False,7965.719399208959
255,0.9764502375025025,1.2502047117063301e-06,1,False,311.2731513154537
256,0.9766297713744574,1.262945609170966e-06,1,False,308.8433454890868
257,0.9774635970714246,1.231353886745418e-06,1,False,297.5700738950965
258,0.9766235815762061,1.3016043527393713e-06,1,False,308.9271031566035
259,0.9768318969719932,1.2570892026575049e-06,1,False,306.10885276835677
260,0.9756834064222252,1.2900674712580731e-06,1,False,321.66148566107387
261,0.9784668252662024,1.2314296145392233e-06,1,False,284.03195644362233
